,release_month,pl_nnotes,pl_controv_flag,elat,elon,glat,cb_flag,glon,ra,dec,ttv_flag,sy_pnum,sy_snum,release_year,pl_ndispec,pl_ntranspec,pl_nespec,st_nspec,st_nrvc,st_nphot,disc_year,sy_vmag,sy_tmag,sy_jmag,sy_hmag,sy_kmag,sy_pmra,sy_pmdec,sy_pm,sy_gaiamag,sy_bmag,st_rad,sy_dist,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_plx,st_teff,pl_orbper,sy_kepmag,st_mass,soltype_Kepler Project Candidate (q1_q12_koi),soltype_Kepler Project Candidate (q1_q16_koi),soltype_Kepler Project Candidate (q1_q17_dr24_koi),soltype_Kepler Project Candidate (q1_q17_dr25_koi),soltype_Kepler Project Candidate (q1_q8_koi),soltype_Published Candidate,soltype_Published Confirmed,disc_telescope_0.10 m Schmidt Telescope,disc_telescope_0.18 m Takahashi Epsilon Astrograph,disc_telescope_0.95 m Kepler Telescope,disc_telescope_Canon 200mm f/1.8L,disc_telescope_Canon 400mm f/2.8L,discoverymethod_Orbital Brightness Modulation,discoverymethod_Transit,discoverymethod_Transit Timing Variations,disc_instrument_2K CCD Sensor,disc_instrument_Apogee 4K CCD Sensor,disc_instrument_FLI ProLine 4K CCD Sensor,disc_instrument_Kepler CCD Array,disc_instrument_iKon-L CCD Camera,disc_facility_HATNet,disc_facility_HATSouth,disc_facility_K2,disc_facility_Kepler,disc_facility_Qatar,disc_facility_SuperWASP,disc_facility_SuperWASP-South,disc_facility_TrES,disc_locale_Ground,disc_locale_Space
224,2,1,0,1.31208,56.28872,-28.05348,0,166.7966,53.6511231,20.5990205,0,1,1,2018,0,0,0,0,0,0,2016.0,10.849,10.4021,9.770001,9.432,9.368,36.5714,-51.3647,63.0539428,10.8644,11.765,0.956122,179.461,9.31,9.344,9.332,8.976,5.54366,5703.0,41.688644,11.04,0.963861,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
225,7,1,0,1.31208,56.28872,-28.05348,0,166.7966,53.6511231,20.5990205,0,1,1,2016,0,0,0,0,0,0,2016.0,10.849,10.4021,9.770001,9.432,9.368,36.5714,-51.3647,63.0539428,10.8644,11.765,0.928,179.461,9.31,9.344,9.332,8.976,5.54366,5766.0,41.6855,11.04,0.961,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
449,8,0,0,3.28517,182.6276,63.35883,0,282.19917,183.7203635,1.9681688,0,2,1,2018,0,0,0,0,0,0,2021.0,11.746,11.2023,10.588,10.262,10.218,6.09669,-24.2468,25.0015387,11.6477,12.481,0.990833,232.1,10.158,10.218,10.086,8.424,4.28034,5711.17,0.87703,11.678,1.018,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
487,12,1,0,-0.60769,128.15245,32.03739,0,208.28299,130.4102091,17.6399744,0,1,1,2016,0,0,0,0,0,0,2016.0,15.133,13.5357,12.277,11.605,11.429,-36.1698,-11.4013,37.9241885,14.5263,16.708,0.59,186.197,11.341,11.349,11.503,8.436,5.34209,3880.0,21.169619,14.568,0.61,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
489,10,1,0,-0.60769,128.15245,32.03739,0,208.28299,130.4102091,17.6399744,0,1,1,2017,0,0,0,0,0,0,2016.0,15.133,13.5357,12.277,11.605,11.429,-36.1698,-11.4013,37.9241885,14.5263,16.708,0.571699,186.197,11.341,11.349,11.503,8.436,5.34209,4148.21,21.169861,14.568,0.663459,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
496,5,0,0,2.68664,133.29271,38.12775,0,208.78206,136.5741931,19.4020565,0,1,1,2018,0,0,0,0,0,0,2018.0,10.154,9.66896,9.144,8.908,8.837,45.4915,-41.7905,61.7731533,10.0512,10.938,1.38,181.69,8.822,8.844,8.81,8.623,5.47529,6025.0,19.49213,10.115,1.18,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
497,9,0,0,2.68664,133.29271,38.12775,0,208.78206,136.5741931,19.4020565,0,1,1,2025,0,0,0,0,0,0,2018.0,10.154,9.66896,9.144,8.908,8.837,45.4915,-41.7905,61.7731533,10.0512,10.938,1.387,181.69,8.822,8.844,8.81,8.623,5.47529,6019.0,19.491,10.115,1.17,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
533,9,3,0,4.78443,16.22269,-52.07644,0,123.28442,13.0800239,10.7947051,0,2,1,2025,0,0,0,0,0,0,2016.0,12.101,11.4574,10.77,10.454,10.344,60.9629,2.2394,61.004017,11.9535,12.576,0.995,244.59,10.299,10.355,10.38,8.423,4.06029,5496.0,0.571282,11.958,0.91,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
535,12,3,0,4.78443,16.22269,-52.07644,0,123.28442,13.0800239,10.7947051,0,2,1,2017,0,0,0,0,0,0,2016.0,12.101,11.4574,10.77,10.454,10.344,60.9629,2.2394,61.004017,11.9535,12.576,0.95,244.59,10.299,10.355,10.38,8.423,4.06029,5496.0,0.571336,11.958,0.92,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
536,4,3,0,4.78443,16.22269,-52.07644,0,123.28442,13.0800239,10.7947051,0,2,1,2023,0,0,0,0,0,0,2016.0,12.101,11.4574,10.77,10.454,10.344,60.9629,2.2394,61.004017,11.9535,12.576,0.988,244.59,10.299,10.355,10.38,8.423,4.06029,5532.0,0.571292,11.958,0.95,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
