,release_month,sy_snum,sy_pnum,cb_flag,ttv_flag,pl_nnotes,elon,elat,glon,glat,dec,ra,st_nspec,pl_nespec,pl_ntranspec,pl_ndispec,release_year,st_nphot,st_nrvc,pl_controv_flag,disc_year,sy_tmag,sy_kmag,sy_jmag,sy_hmag,sy_vmag,sy_pm,sy_pmdec,sy_pmra,pl_orbper,sy_gaiamag,st_rad,sy_bmag,sy_dist,st_teff,sy_w2mag,sy_w1mag,sy_w3mag,sy_w4mag,sy_plx,st_logg,st_mass,soltype_Kepler Project Candidate (q1_q17_dr25_koi),soltype_Published Confirmed,pl_tsystemref_BJD,pl_tsystemref_BJD-TDB,pl_tsystemref_BJD-UTC,pl_tsystemref_HJD,pl_tsystemref_JD,log radius
450,1,1,2,0,0,0,182.6276,3.28517,282.19917,63.35883,1.9681688,183.7203635,0,0,0,0,2025,0,0,0,2021.0,11.2023,10.218,10.588,10.262,11.746,25.0015387,-24.2468,6.09669,0.87724,11.6477,0.98,12.481,232.1,5679.0,10.218,10.158,10.086,8.424,4.28034,4.435,0.958,False,True,True,False,False,False,False,0.19451434188246727
459,11,1,1,0,0,0,173.16246,3.72695,261.10589,63.11979,6.1348146,175.206752,0,0,0,0,2020,0,0,0,2019.0,13.957,12.454,13.06,12.49,14.983,7.9466943,-6.89063,-3.95843,4.1698,14.5885,0.628461,15.919,436.488,5053.0,12.421,12.378,12.355,8.948,2.26274,4.595,0.802,False,True,True,False,False,False,False,0.01703333929878037
486,3,1,2,0,0,0,336.33924,1.30362,56.17023,-51.54478,-7.972456,337.6178427,0,0,0,0,2022,0,0,0,2022.0,13.1461,11.635,12.258,11.72,14.005,58.424872,-12.3937,57.0952,17.515472,13.774,0.758,15.08,314.35,4752.0,11.66,11.591,11.902,8.892,3.15254,4.596,0.832,False,True,False,False,False,False,True,0.3209766773428235
491,9,1,1,0,0,1,128.15245,-0.60769,208.28299,32.03739,17.6399744,130.4102091,0,0,0,0,2021,0,0,0,2016.0,13.5357,11.429,12.277,11.605,15.133,37.9241885,-11.4013,-36.1698,21.1701963,14.5263,0.58,16.708,186.197,4057.0,11.349,11.341,11.503,8.436,5.34209,4.7,0.62,False,True,True,False,False,False,False,0.28330122870354957
499,10,1,1,0,0,0,133.29271,2.68664,208.78206,38.12775,19.4020565,136.5741931,0,0,0,0,2018,0,0,0,2018.0,9.66896,8.837,9.144,8.908,10.154,61.7731533,-41.7905,45.4915,19.49221,10.0512,1.39,10.938,181.69,6069.0,8.844,8.822,8.81,8.623,5.47529,4.22,1.17,False,True,True,False,False,False,False,0.7604224834232121
504,8,1,2,0,0,0,211.5298,-5.98289,321.8192,43.14733,-17.6098985,207.2061241,0,0,0,0,2021,0,0,0,2019.0,13.5896,12.186,12.735,12.223,14.611,23.1565785,-0.243326,-23.1553,2.289363,14.1864,0.8,15.377,418.395,5171.0,12.174,12.116,11.97,9.254,2.36212,4.55,0.83,False,True,True,False,False,False,False,0.17026171539495738
507,8,1,2,0,0,0,211.5298,-5.98289,321.8192,43.14733,-17.6098985,207.2061241,0,0,0,0,2021,0,0,0,2021.0,13.5896,12.186,12.735,12.223,14.611,23.1565785,-0.243326,-23.1553,5.213965,14.1864,0.8,15.377,418.395,5171.0,12.174,12.116,11.97,9.254,2.36212,4.55,0.83,False,True,True,False,False,False,False,0.35602585719312274
513,8,1,2,0,0,0,207.51816,-0.29021,322.41694,50.09504,-10.8625468,205.4445125,0,0,0,0,2021,0,0,0,2019.0,11.7902,10.857,11.181,10.911,12.488,28.5573676,-24.4689,-14.724,15.28078,12.2038,0.98,12.69,320.07,6004.0,10.853,10.802,10.767,9.086,3.09713,4.45,0.99,False,True,True,False,False,False,False,0.10037054511756291
517,8,1,2,0,0,0,207.51816,-0.29021,322.41694,50.09504,-10.8625468,205.4445125,0,0,0,0,2021,0,0,0,2021.0,11.7902,10.857,11.181,10.911,12.488,28.5573676,-24.4689,-14.724,23.228555,12.2038,0.98,12.69,320.07,6004.0,10.853,10.802,10.767,9.086,3.09713,4.45,0.99,False,True,True,False,False,False,False,0.3654879848908996
526,7,1,2,0,0,2,205.11153,2.5791,322.27085,53.83847,-7.3180577,204.2215065,0,0,0,0,2019,0,0,0,2019.0,13.803,12.16,12.824,12.239,14.81,51.2703122,22.1618,-46.2331,13.603,14.4776,0.673,15.036,336.25,4684.0,12.149,12.093,12.609,9.074,2.94582,4.622,0.69,False,True,True,False,False,False,False,0.4126285205443752
528,7,1,2,0,0,2,205.11153,2.5791,322.27085,53.83847,-7.3180577,204.2215065,0,0,0,0,2019,0,0,0,2019.0,13.803,12.16,12.824,12.239,14.81,51.2703122,22.1618,-46.2331,65.55,14.4776,0.673,15.036,336.25,4684.0,12.149,12.093,12.609,9.074,2.94582,4.622,0.69,False,True,True,False,False,False,False,0.42975228000240795
