,0
release_month,0.0
sy_snum,0.0
sy_pnum,-0.0
cb_flag,0.0
ttv_flag,0.0
pl_nnotes,0.0
elon,-0.0
elat,-0.0
glon,0.0
glat,-0.0
dec,-0.0
ra,-0.0
st_nspec,0.0
pl_nespec,0.0
pl_ntranspec,0.0
pl_ndispec,0.0
release_year,-0.0
st_nphot,0.0
st_nrvc,0.0
pl_controv_flag,-0.0
disc_year,-0.006087182416550482
sy_tmag,0.0
sy_kmag,0.0
sy_jmag,0.0
sy_hmag,0.0
sy_vmag,0.0
sy_pm,-0.0
sy_pmdec,-0.0
sy_pmra,-0.0
pl_orbper,0.0
sy_gaiamag,0.0
st_rad,0.0
sy_bmag,0.0
sy_dist,0.0
st_teff,0.0
sy_w2mag,0.0
sy_w1mag,0.0
sy_w3mag,0.0
sy_w4mag,-0.0
sy_plx,-0.0
st_logg,-0.0
st_mass,0.0
soltype_Kepler Project Candidate (q1_q17_dr25_koi),-0.0
soltype_Published Confirmed,0.0
pl_tsystemref_BJD,0.0
pl_tsystemref_BJD-TDB,0.0
pl_tsystemref_BJD-UTC,-0.0
pl_tsystemref_HJD,0.0
pl_tsystemref_JD,-0.0
release_month^2,0.0
release_month sy_snum,0.0
release_month sy_pnum,-0.0
release_month cb_flag,0.0
release_month ttv_flag,0.0
release_month pl_nnotes,0.0
release_month elon,0.0
release_month elat,-0.0
release_month glon,0.0
release_month glat,-0.0
release_month dec,-0.0
release_month ra,0.0
release_month st_nspec,0.0
release_month pl_nespec,0.0
release_month pl_ntranspec,0.0
release_month pl_ndispec,0.0
release_month release_year,0.0
release_month st_nphot,0.0
release_month st_nrvc,0.0
release_month pl_controv_flag,-0.0
release_month disc_year,0.0
release_month sy_tmag,0.0
release_month sy_kmag,0.0
release_month sy_jmag,0.0
release_month sy_hmag,0.0
release_month sy_vmag,0.0
release_month sy_pm,0.0
release_month sy_pmdec,-0.0
release_month sy_pmra,-0.0
release_month pl_orbper,0.0
release_month sy_gaiamag,0.0
release_month st_rad,0.0
release_month sy_bmag,0.0
release_month sy_dist,0.0
release_month st_teff,0.0
release_month sy_w2mag,0.0
