pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,rowupdate,pl_pubdate,releasedate
TRAPPIST-1 h,TRAPPIST-1,0,1,7,Transit,2017,Multiple Observatories,Published Confirmed,0,<a refstr=DUCROT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A.112D/abstract target=ref>Ducrot et al. 2020</a>,18.7672745,0.0618656,,,,,,,0.144,171.7,1,<a refstr=DUCROT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A.112D/abstract target=ref>Ducrot et al. 2020</a>,,2520,0.1234,0.0898,0.0535,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,,17.02,10.296,15.6451,11/14/2022,2020-08,11/14/2022
TRAPPIST-1 h,TRAPPIST-1,0,1,7,Transit,2017,Multiple Observatories,Published Confirmed,0,<a refstr=GRIMM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..68G/abstract target=ref>Grimm et al. 2018</a>,,0.06193488,0.773,0.06896244,0.331,0.00104144,Mass,0.00567,,,1,<a refstr=GRIMM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..68G/abstract target=ref>Grimm et al. 2018</a>,,,,0.089,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,,17.02,10.296,15.6451,12/10/2020,2018-05,12/17/2020
TRAPPIST-1 h,TRAPPIST-1,0,1,7,Transit,2017,Multiple Observatories,Published Confirmed,0,<a refstr=LUGER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017NatAs...1E.129L/abstract target=ref>Luger et al. 2017</a>,18.767,,0.752,0.06708895,,,,,0.165,173,1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,,0.114827,0.090778,,,5.27596,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,,17.02,10.296,15.6451,6/13/2017,2017-06,6/15/2017
TRAPPIST-1 h,TRAPPIST-1,1,1,7,Transit,2017,Multiple Observatories,Published Confirmed,0,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>,18.772866,0.06189,0.755,0.0673567,0.326,0.00102571,Mass,,0.144,,1,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>,,2566,0.1192,0.0898,,,5.2396,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,,17.02,10.296,15.6451,11/14/2022,2021-02,11/14/2022
TRAPPIST-1 h,TRAPPIST-1,0,1,7,Transit,2017,Multiple Observatories,Published Confirmed,0,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.542..456G/abstract target=ref>Gillon et al. 2017</a>,20,0.063,0.755,0.06735659,,,,,0.131,168,1,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.542..456G/abstract target=ref>Gillon et al. 2017</a>,,2559,0.117,0.0802,0.04,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,,17.02,10.296,15.6451,6/13/2017,2017-02,2/22/2017
TRAPPIST-1 g,TRAPPIST-1,0,1,7,Transit,2017,Multiple Observatories,Published Confirmed,0,<a refstr=DUCROT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A.112D/abstract target=ref>Ducrot et al. 2020</a>,12.3535557,0.04681528,,,,,,,0.252,197.3,1,<a refstr=DUCROT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A.112D/abstract target=ref>Ducrot et al. 2020</a>,,2520,0.1234,0.0898,0.0535,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,,17.02,10.296,15.6451,11/14/2022,2020-08,11/14/2022
TRAPPIST-1 g,TRAPPIST-1,0,1,7,Transit,2017,Multiple Observatories,Published Confirmed,0,<a refstr=GRIMM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..68G/abstract target=ref>Grimm et al. 2018</a>,,0.04687692,1.148,0.1024177,1.148,0.00361199,Mass,0.00208,,,1,<a refstr=GRIMM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..68G/abstract target=ref>Grimm et al. 2018</a>,,,,0.089,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,,17.02,10.296,15.6451,12/10/2020,2018-05,12/17/2020
TRAPPIST-1 g,TRAPPIST-1,1,1,7,Transit,2017,Multiple Observatories,Published Confirmed,0,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>,12.352446,0.04683,1.129,0.10072281,1.321,0.00415633,Mass,,0.252,,1,<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>,,2566,0.1192,0.0898,,,5.2396,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,,17.02,10.296,15.6451,11/14/2022,2021-02,11/14/2022
TRAPPIST-1 g,TRAPPIST-1,0,1,7,Transit,2017,Multiple Observatories,Published Confirmed,0,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.542..456G/abstract target=ref>Gillon et al. 2017</a>,12.35294,0.0451,1.127,0.10054421,1.34,0.00421609,Mass,0.061,0.258,198.6,1,<a refstr=GILLON_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.542..456G/abstract target=ref>Gillon et al. 2017</a>,,2559,0.117,0.0802,0.04,[Fe/H],,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,,17.02,10.296,15.6451,2/17/2017,2017-02,2/22/2017
TRAPPIST-1 f,TRAPPIST-1,0,1,7,Transit,2017,Multiple Observatories,Published Confirmed,0,<a refstr=HIRANO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...890L..27H/abstract target=ref>Hirano et al. 2020</a>,9.2129,,,,,,,,,,1,<a refstr=HIRANO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...890L..27H/abstract target=ref>Hirano et al. 2020</a>,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h06m30.33s,346.6263919,-05d02m36.46s,-5.0434618,,17.02,10.296,15.6451,4/17/2023,2020-02,4/17/2023
